amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,
ธารโต,ยะลา,13.68,2.69,9.38,21.35,366,6.074,101.255,Moderate,#ffff00,ธารโต|ยะลา
เมืองปัตตานี,ปัตตานี,15.72,3.12,10.25,24.51,366,6.852,101.263,Moderate,#ffff00,เมืองปัตตานี|ปัตตานี
หล่มเก่า,เพชรบูรณ์,25.55,15.05,9.04,64.18,366,16.992,101.277,Unhealthy for Sensitive,#ff7e00,หล่มเก่า|เพชรบูรณ์
มวกเหล็ก,สระบุรี,24.53,10.47,11.18,57.29,366,14.795,101.277,Moderate,#ffff00,มวกเหล็ก|สระบุรี
บันนังสตา,ยะลา,14.96,2.93,9.51,23.27,366,6.246,101.278,Moderate,#ffff00,บันนังสตา|ยะลา
ราชสาส์น,ฉะเชิงเทรา,22.35,9.48,10.7,52.98,366,13.788,101.283,Moderate,#ffff00,ราชสาส์น|ฉะเชิงเทรา
ยะรัง,ปัตตานี,15.62,2.97,8.95,24.11,366,6.698,101.312,Moderate,#ffff00,ยะรัง|ปัตตานี
หล่มสัก,เพชรบูรณ์,25.54,14.62,9.13,59.67,366,16.728,101.312,Unhealthy for Sensitive,#ff7e00,หล่มสัก|เพชรบูรณ์
บ้านค่าย,ระยอง,19.44,8.44,9.12,45.81,366,12.84,101.342,Moderate,#ffff00,บ้านค่าย|ระยอง
แปลงยาว,ฉะเชิงเทรา,21.35,9.88,9.23,53.77,366,13.557,101.343,Moderate,#ffff00,แปลงยาว|ฉะเชิงเทรา
ปากพลี,นครนายก,21.17,8.79,9.42,56.59,366,14.228,101.343,Moderate,#ffff00,ปากพลี|นครนายก
เมืองระยอง,ระยอง,19.12,8.32,8.69,44.13,366,12.717,101.348,Moderate,#ffff00,เมืองระยอง|ระยอง
ลำสนธิ,ลพบุรี,24.43,11.23,10.69,55.16,366,15.402,101.351,Moderate,#ffff00,ลำสนธิ|ลพบุรี
หนองใหญ่,ชลบุรี,20.29,8.78,9.64,47.91,366,13.126,101.375,Moderate,#ffff00,หนองใหญ่|ชลบุรี
เมืองปราจีนบุรี,ปราจีนบุรี,22.23,9.17,10.58,53.22,366,14.1,101.386,Moderate,#ffff00,เมืองปราจีนบุรี|ปราจีนบุรี
ยะหริ่ง,ปัตตานี,15.68,3.17,10.11,24.57,366,6.835,101.39,Moderate,#ffff00,ยะหริ่ง|ปัตตานี
ภูเรือ,เลย,25.57,16.79,7.81,83.51,366,17.403,101.391,Unhealthy for Sensitive,#ff7e00,ภูเรือ|เลย
เกาะจันทร์,ชลบุรี,21.42,9.27,10.17,50.67,366,13.398,101.393,Moderate,#ffff00,เกาะจันทร์|ชลบุรี
มายอ,ปัตตานี,15.59,3.03,9.24,24.23,366,6.707,101.4,Moderate,#ffff00,มายอ|ปัตตานี
ภักดีชุมพล,ชัยภูมิ,24.73,12.71,10.03,53.13,366,15.97,101.406,Moderate,#ffff00,ภักดีชุมพล|ชัยภูมิ
พนมสารคาม,ฉะเชิงเทรา,22.43,9.63,10.84,53.71,366,13.739,101.412,Moderate,#ffff00,พนมสารคาม|ฉะเชิงเทรา
ศรีมโหสถ,ปราจีนบุรี,23.22,9.81,11.51,55.53,366,13.88,101.42,Moderate,#ffff00,ศรีมโหสถ|ปราจีนบุรี
รามัน,ยะลา,15.49,2.99,8.91,24.06,366,6.49,101.433,Moderate,#ffff00,รามัน|ยะลา
ท่าลี่,เลย,25.65,17.31,7.45,88.06,366,17.617,101.439,Unhealthy for Sensitive,#ff7e00,ท่าลี่|เลย
ทุ่งยางแดง,ปัตตานี,15.53,3.03,9.14,24.2,366,6.639,101.451,Moderate,#ffff00,ทุ่งยางแดง|ปัตตานี
ปากช่อง,นครราชสีมา,23.65,10.09,11.07,55.28,366,14.619,101.457,Moderate,#ffff00,ปากช่อง|นครราชสีมา
เทพสถิต,ชัยภูมิ,24.35,11.72,10.33,53.91,366,15.597,101.474,Moderate,#ffff00,เทพสถิต|ชัยภูมิ
บ่อทอง,ชลบุรี,21.05,9.04,10.07,49.24,366,13.246,101.508,Moderate,#ffff00,บ่อทอง|ชลบุรี
ศรีสาคร,นราธิวาส,14.84,3.14,9.8,23.65,366,6.188,101.513,Moderate,#ffff00,ศรีสาคร|นราธิวาส
ปะนาเระ,ปัตตานี,15.6,3.26,10.2,24.69,366,6.807,101.516,Moderate,#ffff00,ปะนาเระ|ปัตตานี
รือเสาะ,นราธิวาส,15.14,3.14,9.44,24.11,366,6.378,101.517,Moderate,#ffff00,รือเสาะ|นราธิวาส
วังจันทร์,ระยอง,20.2,8.7,9.61,47.34,366,12.966,101.518,Moderate,#ffff00,วังจันทร์|ระยอง
ศรีมหาโพธิ,ปราจีนบุรี,24.71,10.73,12.94,60.72,366,13.887,101.54,Moderate,#ffff00,ศรีมหาโพธิ|ปราจีนบุรี
กะพ้อ,ปัตตานี,15.35,3.15,9.48,24.35,366,6.607,101.541,Moderate,#ffff00,กะพ้อ|ปัตตานี
ประจันตคาม,ปราจีนบุรี,22.9,9.62,11.08,54.29,366,14.228,101.556,Moderate,#ffff00,ประจันตคาม|ปราจีนบุรี
สายบุรี,ปัตตานี,15.39,3.24,9.85,24.55,366,6.697,101.578,Moderate,#ffff00,สายบุรี|ปัตตานี
น้ำหนาว,เพชรบูรณ์,25.25,14.51,9.39,62.82,366,16.846,101.589,Unhealthy for Sensitive,#ff7e00,น้ำหนาว|เพชรบูรณ์
สีคิ้ว,นครราชสีมา,24.09,10.62,11.09,55.2,366,14.944,101.6,Moderate,#ffff00,สีคิ้ว|นครราชสีมา
จะแนะ,นราธิวาส,14.67,3.2,9.76,23.49,366,6.039,101.612,Moderate,#ffff00,จะแนะ|นราธิวาส
หนองบัวแดง,ชัยภูมิ,24.73,13.02,9.87,53.51,366,16.199,101.623,Moderate,#ffff00,หนองบัวแดง|ชัยภูมิ
ภูหลวง,เลย,25.34,15.79,8.47,76.06,366,17.098,101.623,Unhealthy for Sensitive,#ff7e00,ภูหลวง|เลย
หนองบัวระเหว,ชัยภูมิ,24.19,12.23,9.77,54.51,366,15.836,101.633,Moderate,#ffff00,หนองบัวระเหว|ชัยภูมิ
ซับใหญ่,ชัยภูมิ,24.14,11.77,10.07,53.38,366,15.614,101.639,Moderate,#ffff00,ซับใหญ่|ชัยภูมิ
สนามชัยเขต,ฉะเชิงเทรา,22.45,9.61,10.99,53.2,366,13.619,101.646,Moderate,#ffff00,สนามชัยเขต|ฉะเชิงเทรา
บาเจาะ,นราธิวาส,14.95,3.31,9.34,24.42,366,6.546,101.648,Moderate,#ffff00,บาเจาะ|นราธิวาส
บำเหน็จณรงค์,ชัยภูมิ,24.16,11.47,10.37,53.94,366,15.468,101.652,Moderate,#ffff00,บำเหน็จณรงค์|ชัยภูมิ
แกลง,ระยอง,20.02,8.6,9.55,46.4,366,12.779,101.654,Moderate,#ffff00,แกลง|ระยอง
ไม้แก่น,ปัตตานี,15.03,3.34,9.46,24.52,366,6.614,101.675,Moderate,#ffff00,ไม้แก่น|ปัตตานี
เขาชะเมา,ระยอง,20.51,8.81,9.81,47.73,366,12.994,101.678,Moderate,#ffff00,เขาชะเมา|ระยอง
ยี่งอ,นราธิวาส,14.65,3.38,8.76,24.35,366,6.417,101.7,Moderate,#ffff00,ยี่งอ|นราธิวาส
ด่านขุนทด,นครราชสีมา,24.22,11.03,10.91,54.72,366,15.223,101.701,Moderate,#ffff00,ด่านขุนทด|นครราชสีมา
ระแงะ,นราธิวาส,14.76,3.35,9.12,24.3,366,6.247,101.708,Moderate,#ffff00,ระแงะ|นราธิวาส
วังสะพุง,เลย,25.47,18.01,6.3,97.05,366,17.274,101.714,Unhealthy for Sensitive,#ff7e00,วังสะพุง|เลย
คอนสาร,ชัยภูมิ,24.99,13.6,9.89,55.86,366,16.548,101.719,Moderate,#ffff00,คอนสาร|ชัยภูมิ
เมืองเลย,เลย,25.61,20.35,3.67,117.16,366,17.543,101.719,Unhealthy for Sensitive,#ff7e00,เมืองเลย|เลย
เชียงคาน,เลย,25.57,17.08,7.57,87.14,366,17.826,101.733,Unhealthy for Sensitive,#ff7e00,เชียงคาน|เลย
สุคิริน,นราธิวาส,14.77,3.34,9.93,23.7,366,5.911,101.736,Moderate,#ffff00,สุคิริน|นราธิวาส
ท่าตะเกียบ,ฉะเชิงเทรา,21.65,9.32,10.44,50.73,366,13.392,101.742,Moderate,#ffff00,ท่าตะเกียบ|ฉะเชิงเทรา
กบินทร์บุรี,ปราจีนบุรี,23.37,10.04,11.68,55.94,366,13.89,101.789,Moderate,#ffff00,กบินทร์บุรี|ปราจีนบุรี
เมืองนราธิวาส,นราธิวาส,14.5,3.42,8.42,24.39,366,6.395,101.813,Moderate,#ffff00,เมืองนราธิวาส|นราธิวาส
หนองหิน,เลย,25.22,15.53,8.55,75.04,366,17.074,101.82,Unhealthy for Sensitive,#ff7e00,หนองหิน|เลย
สูงเนิน,นครราชสีมา,24.29,10.69,11.62,55.14,366,14.859,101.828,Moderate,#ffff00,สูงเนิน|นครราชสีมา
บ้านเขว้า,ชัยภูมิ,23.51,12.79,8.07,68.43,366,15.825,101.837,Moderate,#ffff00,บ้านเขว้า|ชัยภูมิ
ภูกระดึง,เลย,25.09,14.45,9.42,64.89,366,16.895,101.84,Hazardous,#7e0023,ภูกระดึง|เลย
จัตุรัส,ชัยภูมิ,23.81,11.98,9.58,59.07,366,15.578,101.841,Moderate,#ffff00,จัตุรัส|ชัยภูมิ
เจาะไอร้อง,นราธิวาส,14.74,3.41,9,24.42,366,6.227,101.841,Moderate,#ffff00,เจาะไอร้อง|นราธิวาส
นาดี,ปราจีนบุรี,23.02,9.93,11.18,54.33,366,14.185,101.854,Moderate,#ffff00,นาดี|ปราจีนบุรี
แว้ง,นราธิวาส,15.04,3.51,10.02,24.32,366,5.898,101.866,Moderate,#ffff00,แว้ง|นราธิวาส
ภูผาม่าน,ขอนแก่น,24.98,13.8,9.75,58.68,366,16.718,101.868,Moderate,#ffff00,ภูผาม่าน|ขอนแก่น
วังน้ำเขียว,นครราชสีมา,23.26,10.1,11.07,54.26,366,14.433,101.871,Moderate,#ffff00,วังน้ำเขียว|นครราชสีมา
นายายอาม,จันทบุรี,19.17,8.35,8.61,43.94,366,12.739,101.872,Moderate,#ffff00,นายายอาม|จันทบุรี
แก่งหางแมว,จันทบุรี,20.78,8.98,9.92,48.29,366,13.094,101.884,Moderate,#ffff00,แก่งหางแมว|จันทบุรี
สุไหงปาดี,นราธิวาส,14.95,3.46,9.52,24.52,366,6.104,101.891,Moderate,#ffff00,สุไหงปาดี|นราธิวาส
เกษตรสมบูรณ์,ชัยภูมิ,24.47,12.8,9.82,53.41,366,16.294,101.903,Moderate,#ffff00,เกษตรสมบูรณ์|ชัยภูมิ
ขามทะเลสอ,นครราชสีมา,25.04,11.06,12.47,55.71,366,15.029,101.93,Hazardous,#7e0023,ขามทะเลสอ|นครราชสีมา
ปักธงชัย,นครราชสีมา,23.84,10.48,11.36,54.77,366,14.664,101.938,Moderate,#ffff00,ปักธงชัย|นครราชสีมา
ปากชม,เลย,25.46,16.12,8.41,78.75,366,17.913,101.957,Unhealthy for Sensitive,#ff7e00,ปากชม|เลย
เอราวัณ,เลย,25.26,16.64,7.39,86.17,366,17.287,101.975,Unhealthy for Sensitive,#ff7e00,เอราวัณ|เลย
ท่าใหม่,จันทบุรี,17.94,8.08,7.2,40.73,366,12.726,101.978,Moderate,#ffff00,ท่าใหม่|จันทบุรี
พระทองคำ,นครราชสีมา,24.16,11.32,10.72,54.21,366,15.355,101.985,Moderate,#ffff00,พระทองคำ|นครราชสีมา
เนินสง่า,ชัยภูมิ,23.72,12.03,9.43,60.73,366,15.557,101.992,Moderate,#ffff00,เนินสง่า|ชัยภูมิ
นาด้วง,เลย,25.36,17.39,6.77,92.46,366,17.542,101.996,Unhealthy for Sensitive,#ff7e00,นาด้วง|เลย
ตากใบ,นราธิวาส,14.9,3.48,9.22,24.65,366,6.239,101.999,Moderate,#ffff00,ตากใบ|นราธิวาส
ผาขาว,เลย,25.05,14.81,9.04,69.78,366,17.049,102.012,Hazardous,#7e0023,ผาขาว|เลย
โนนไทย,นครราชสีมา,24.76,11.12,11.93,55.31,366,15.191,102.024,Moderate,#ffff00,โนนไทย|นครราชสีมา
เขาฉกรรจ์,สระแก้ว,21.78,9.71,10.37,51.74,366,13.626,102.024,Moderate,#ffff00,เขาฉกรรจ์|สระแก้ว
วังน้ำเย็น,สระแก้ว,21.43,9.66,10.1,50.97,366,13.517,102.08,Moderate,#ffff00,วังน้ำเย็น|สระแก้ว
เมืองนครราชสีมา,นครราชสีมา,26.05,11.46,12.08,57.59,366,14.97,102.092,Unhealthy for Sensitive,#ff7e00,เมืองนครราชสีมา|นครราชสีมา
ชุมแพ,ขอนแก่น,24.87,13.28,10.02,55.16,366,16.62,102.093,Moderate,#ffff00,ชุมแพ|ขอนแก่น
เขาคิชฌกูฏ,จันทบุรี,19.79,8.67,8.93,45.62,366,12.954,102.096,Moderate,#ffff00,เขาคิชฌกูฏ|จันทบุรี
เมืองสระแก้ว,สระแก้ว,22.09,9.96,10.46,52.74,366,13.929,102.104,Moderate,#ffff00,เมืองสระแก้ว|สระแก้ว
วังสมบูรณ์,สระแก้ว,21.18,9.49,9.98,50.05,366,13.365,102.118,Moderate,#ffff00,วังสมบูรณ์|สระแก้ว
เมืองจันทบุรี,จันทบุรี,15.68,7.88,4.8,41.09,366,12.603,102.119,Moderate,#ffff00,เมืองจันทบุรี|จันทบุรี
แหลมสิงห์,จันทบุรี,17.08,7.93,6.31,39.11,366,12.467,102.123,Moderate,#ffff00,แหลมสิงห์|จันทบุรี
สีชมพู,ขอนแก่น,24.92,13.57,9.89,58.39,366,16.765,102.124,Moderate,#ffff00,สีชมพู|ขอนแก่น
นายูง,อุดรธานี,25.39,15.62,8.64,74.31,366,17.932,102.13,Unhealthy for Sensitive,#ff7e00,นายูง|อุดรธานี
บ้านเหลื่อม,นครราชสีมา,23.67,12.1,9.31,61.31,366,15.574,102.144,Moderate,#ffff00,บ้านเหลื่อม|นครราชสีมา
ภูเขียว,ชัยภูมิ,24.65,12.76,10.11,52.59,366,16.351,102.157,Moderate,#ffff00,ภูเขียว|ชัยภูมิ
ขามสะแกแสง,นครราชสีมา,24.05,11.41,10.55,54.22,366,15.382,102.17,Moderate,#ffff00,ขามสะแกแสง|นครราชสีมา
น้ำโสม,อุดรธานี,25.24,15.6,8.45,75.8,366,17.747,102.18,Unhealthy for Sensitive,#ff7e00,น้ำโสม|อุดรธานี
โชคชัย,นครราชสีมา,24.33,10.84,11.81,55.38,366,14.76,102.204,Moderate,#ffff00,โชคชัย|นครราชสีมา
แก้งคร้อ,ชัยภูมิ,24.22,12.52,9.63,57.64,366,16.132,102.211,Moderate,#ffff00,แก้งคร้อ|ชัยภูมิ
ครบุรี,นครราชสีมา,22.88,10.28,10.65,53.95,366,14.38,102.214,Moderate,#ffff00,ครบุรี|นครราชสีมา
สังคม,หนองคาย,25.45,15.46,8.65,71.89,366,18.064,102.216,Unhealthy for Sensitive,#ff7e00,สังคม|หนองคาย
มะขาม,จันทบุรี,17.6,8.06,6.76,39.78,366,12.736,102.222,Moderate,#ffff00,มะขาม|จันทบุรี
สอยดาว,จันทบุรี,20.72,9.25,9.62,48.59,366,13.184,102.232,Moderate,#ffff00,สอยดาว|จันทบุรี
แก้งสนามนาง,นครราชสีมา,23.61,12.36,8.99,63.56,366,15.702,102.247,Moderate,#ffff00,แก้งสนามนาง|นครราชสีมา
คอนสวรรค์,ชัยภูมิ,23.82,12.5,9.1,62.57,366,15.933,102.272,Moderate,#ffff00,คอนสวรรค์|ชัยภูมิ
