amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
เก้าเลี้ยว,นครสวรรค์,24.97,13.12,9.39,56.06,366,12.436865303586584,102.41647791196056,Moderate,#ffff00,เก้าเลี้ยว|นครสวรรค์,11400950.17,1395467.306
ถลาง,ภูเก็ต,15.69,4.19,10.59,29.31,366,12.391879610472225,99.7307178723713,Moderate,#ffff00,ถลาง|ภูเก็ต,11101972.73,1390339.628
ท่าใหม่,จันทบุรี,17.94,8.08,7.2,40.73,366,12.2921275893408,102.2392485709044,Moderate,#ffff00,ท่าใหม่|จันทบุรี,11381221.09,1378972.58
โป่งน้ำร้อน,จันทบุรี,19.89,8.83,8.88,45.93,366,12.288114336254704,102.25088498776876,Moderate,#ffff00,โป่งน้ำร้อน|จันทบุรี,11382516.45,1378515.348
หนองบัว,นครสวรรค์,25.18,13.06,9.95,54.96,366,12.26538766393133,102.59743876487543,Unhealthy for Sensitive,#ff7e00,หนองบัว|นครสวรรค์,11421094.64,1375926.218
แกดำ,มหาสารคาม,25.98,13.61,10.15,60.55,366,12.26007401323689,99.72713763680643,Unhealthy for Sensitive,#ff7e00,แกดำ|มหาสารคาม,11101574.18,1375320.894
ท่าตะโก,นครสวรรค์,25.2,12.72,10.06,55.65,366,12.220525631535729,102.36520045857552,Unhealthy for Sensitive,#ff7e00,ท่าตะโก|นครสวรรค์,11395241.99,1370815.978
ศรีสาคร,นราธิวาส,14.84,3.14,9.8,23.65,366,12.160856635677794,102.24734993746269,Moderate,#ffff00,ศรีสาคร|นราธิวาส,11382122.93,1364020.417
วังชิ้น,แพร่,26.36,18.59,7.45,78.39,366,12.113135628169914,99.73683333333099,Unhealthy for Sensitive,#ff7e00,วังชิ้น|แพร่,11102653.5,1358586.682
รือเสาะ,นราธิวาส,15.14,3.14,9.44,24.11,366,12.046674549569156,102.33830570745272,Moderate,#ffff00,รือเสาะ|นราธิวาส,11392248.08,1351020.733
สอง,แพร่,26.59,18.91,7.9,84.87,366,11.873377807630423,99.72044563709738,Unhealthy for Sensitive,#ff7e00,สอง|แพร่,11100829.23,1331301.36
ปากเกร็ด,นนทบุรี,22.35,10.45,9.31,52.45,366,11.858253841461151,102.52306562553568,Moderate,#ffff00,ปากเกร็ด|นนทบุรี,11412815.46,1329581.007
บาเจาะ,นราธิวาส,14.95,3.31,9.34,24.42,366,11.856555944776359,102.52478428233724,Moderate,#ffff00,บาเจาะ|นราธิวาส,11413006.78,1329387.877
บรรพตพิสัย,นครสวรรค์,25.36,13.88,9.19,58.64,366,11.851968432350231,102.83508573766952,Unhealthy for Sensitive,#ff7e00,บรรพตพิสัย|นครสวรรค์,11447549.38,1328866.069
ตากฟ้า,นครสวรรค์,25.44,12.4,10.45,57.22,366,11.84156938811551,102.52631177764636,Unhealthy for Sensitive,#ff7e00,ตากฟ้า|นครสวรรค์,11413176.82,1327683.259
บางกรวย,นนทบุรี,23.66,9.6,11.05,52.63,366,11.835202654215353,102.45976673735548,Moderate,#ffff00,บางกรวย|นนทบุรี,11405769.06,1326959.115
บางใหญ่,นนทบุรี,23.69,9.75,10.95,53.17,366,11.822720201010133,102.38503508038582,Moderate,#ffff00,บางใหญ่|นนทบุรี,11397449.97,1325539.426
เมืองนราธิวาส,นราธิวาส,14.5,3.42,8.42,24.39,366,11.81942482537182,102.40173368353923,Moderate,#ffff00,เมืองนราธิวาส|นราธิวาส,11399308.85,1325164.638
